reserve,round,date,lizard_num,count,lifestage
Big Creek,4,5/10/21,8,13,larval
Big Creek,4,5/10/21,8,10,nymphal
Big Creek,4,5/10/21,9,8,larval
Big Creek,4,5/10/21,9,4,nymphal
Big Creek,4,5/10/21,10,1,larval
Big Creek,4,5/10/21,10,3,nymphal
Big Creek,4,5/10/21,11,6,larval
Big Creek,4,5/10/21,11,2,nymphal
Big Creek,4,5/10/21,12,6,larval
Big Creek,4,5/10/21,12,4,nymphal
Big Creek,4,5/10/21,13,0,larval
Big Creek,4,5/10/21,13,0,nymphal
Big Creek,4,5/10/21,14,0,larval
Big Creek,4,5/10/21,14,4,nymphal
Big Creek,4,5/10/21,15,0,larval
Big Creek,4,5/10/21,15,0,nymphal
Stunt Ranch,4,5/12/21,1,0,larval
Stunt Ranch,4,5/12/21,1,1,nymphal
Stunt Ranch,4,5/12/21,2,0,larval
Stunt Ranch,4,5/12/21,2,0,nymphal
Stunt Ranch,4,5/12/21,3,0,larval
Stunt Ranch,4,5/12/21,3,0,nymphal
Stunt Ranch,4,5/12/21,4,0,larval
Stunt Ranch,4,5/12/21,4,0,nymphal
Stunt Ranch,4,5/12/21,5,0,larval
Stunt Ranch,4,5/12/21,5,0,nymphal
Stunt Ranch,4,5/12/21,6,0,larval
Stunt Ranch,4,5/12/21,6,0,nymphal
Stunt Ranch,4,5/12/21,7,0,larval
Stunt Ranch,4,5/12/21,7,0,nymphal
Stunt Ranch,4,5/12/21,8,0,larval
Stunt Ranch,4,5/12/21,8,0,nymphal
Stunt Ranch,4,5/12/21,9,0,larval
Stunt Ranch,4,5/12/21,9,0,nymphal
Stunt Ranch,4,5/12/21,10,0,larval
Stunt Ranch,4,5/12/21,10,0,nymphal
Stunt Ranch,4,5/12/21,11,0,larval
Stunt Ranch,4,5/12/21,11,0,nymphal
Stunt Ranch,4,5/12/21,12,0,larval
Stunt Ranch,4,5/12/21,12,0,nymphal
Sedgwick,4,5/13/21,1,0,larval
Sedgwick,4,5/13/21,1,3,nymphal
Sedgwick,4,5/13/21,2,0,larval
Sedgwick,4,5/13/21,2,0,nymphal
Sedgwick,4,5/13/21,3,0,larval
Sedgwick,4,5/13/21,3,4,nymphal
Sedgwick,4,5/13/21,4,0,larval
Sedgwick,4,5/13/21,4,1,nymphal
Sedgwick,4,5/13/21,5,0,larval
Sedgwick,4,5/13/21,5,0,nymphal
Sedgwick,4,5/13/21,6,0,larval
Sedgwick,4,5/13/21,6,2,nymphal
Sedgwick,4,5/13/21,7,0,larval
Sedgwick,4,5/13/21,7,3,nymphal
Sedgwick,4,5/13/21,8,0,larval
Sedgwick,4,5/13/21,8,0,nymphal
Coal Oil Point,4,5/15/21,1,0,larval
Coal Oil Point,4,5/15/21,1,0,nymphal
Coal Oil Point,4,5/15/21,2,0,larval
Coal Oil Point,4,5/15/21,2,0,nymphal
Coal Oil Point,4,5/15/21,3,0,larval
Coal Oil Point,4,5/15/21,3,1,nymphal
Coal Oil Point,4,5/15/21,4,0,larval
Coal Oil Point,4,5/15/21,4,0,nymphal
Coal Oil Point,4,5/15/21,5,0,larval
Coal Oil Point,4,5/15/21,5,0,nymphal
Coal Oil Point,4,5/15/21,6,0,larval
Coal Oil Point,4,5/15/21,6,0,nymphal
Coal Oil Point,4,5/15/21,7,0,larval
Coal Oil Point,4,5/15/21,7,0,nymphal
Coal Oil Point,4,5/15/21,8,0,larval
Coal Oil Point,4,5/15/21,8,0,nymphal
Santa Cruz Island,4,5/16/21,1,0,larval
Santa Cruz Island,4,5/16/21,1,0,nymphal
Santa Cruz Island,4,5/16/21,2,0,larval
Santa Cruz Island,4,5/16/21,2,8,nymphal
Santa Cruz Island,4,5/16/21,3,1,larval
Santa Cruz Island,4,5/16/21,3,1,nymphal
Santa Cruz Island,4,5/16/21,4,0,larval
Santa Cruz Island,4,5/16/21,4,0,nymphal
Santa Cruz Island,4,5/16/21,5,0,larval
Santa Cruz Island,4,5/16/21,5,0,nymphal
Santa Cruz Island,4,5/16/21,6,0,larval
Santa Cruz Island,4,5/16/21,6,0,nymphal
Santa Cruz Island,4,5/16/21,7,0,larval
Santa Cruz Island,4,5/16/21,7,1,nymphal
Santa Cruz Island,4,5/16/21,8,1,larval
Santa Cruz Island,4,5/16/21,8,1,nymphal
McLaughlin,5,6/2/21,1,0,larval
McLaughlin,5,6/2/21,1,1,nymphal
McLaughlin,5,6/2/21,2,0,larval
McLaughlin,5,6/2/21,2,0,nymphal
Quail Ridge,5,6/2/21,1,5,larval
Quail Ridge,5,6/2/21,1,0,nymphal
Quail Ridge,5,6/2/21,2,0,larval
Quail Ridge,5,6/2/21,2,1,nymphal
Fort Ord,5,6/5/21,1,3,larval
Fort Ord,5,6/5/21,1,2,nymphal
Fort Ord,5,6/5/21,2,11,larval
Fort Ord,5,6/5/21,2,2,nymphal
Fort Ord,5,6/5/21,3,7,larval
Fort Ord,5,6/5/21,3,6,nymphal
Fort Ord,5,6/5/21,4,1,larval
Fort Ord,5,6/5/21,4,0,nymphal
Fort Ord,5,6/5/21,5,4,larval
Fort Ord,5,6/5/21,5,1,nymphal
Fort Ord,5,6/5/21,6,8,larval
Fort Ord,5,6/5/21,6,6,nymphal
Fort Ord,5,6/5/21,7,0,larval
Fort Ord,5,6/5/21,7,0,nymphal
Fort Ord,5,6/5/21,8,0,larval
Fort Ord,5,6/5/21,8,1,nymphal
Fort Ord,5,6/5/21,9,1,larval
Fort Ord,5,6/5/21,9,2,nymphal
Fort Ord,5,6/5/21,10,13,larval
Fort Ord,5,6/5/21,10,1,nymphal
Fort Ord,5,6/5/21,11,0,larval
Fort Ord,5,6/5/21,11,0,nymphal
Fort Ord,5,6/5/21,12,11,larval
Fort Ord,5,6/5/21,12,1,nymphal
Fort Ord,5,6/5/21,13,13,larval
Fort Ord,5,6/5/21,13,2,nymphal
Fort Ord,5,6/5/21,14,4,larval
Fort Ord,5,6/5/21,14,1,nymphal
Fort Ord,5,6/5/21,15,17,larval
Fort Ord,5,6/5/21,15,1,nymphal
Hastings,5,6/6/21,1,0,larval
Hastings,5,6/6/21,1,0,nymphal
Hastings,5,6/6/21,2,0,larval
Hastings,5,6/6/21,2,0,nymphal
Hastings,5,6/6/21,3,0,larval
Hastings,5,6/6/21,3,5,nymphal
Hastings,5,6/6/21,4,0,larval
Hastings,5,6/6/21,4,1,nymphal
Hastings,5,6/6/21,5,0,larval
Hastings,5,6/6/21,5,1,nymphal
Hastings,5,6/6/21,6,0,larval
Hastings,5,6/6/21,6,2,nymphal
Hastings,5,6/6/21,7,1,larval
Hastings,5,6/6/21,7,0,nymphal
Hastings,5,6/6/21,8,0,larval
Hastings,5,6/6/21,8,1,nymphal
Hastings,5,6/6/21,9,0,larval
Hastings,5,6/6/21,9,0,nymphal
Hastings,5,6/6/21,10,0,larval
Hastings,5,6/6/21,10,0,nymphal
Hastings,5,6/6/21,11,0,larval
Hastings,5,6/6/21,11,0,nymphal
Hastings,5,6/6/21,12,0,larval
